tournament_name,round_name,p1_name,p1_char_2,p1_char_2,p2_name,p2_char_1,p2_char_2
Cheese League June 2021,Winners Round 4,Heaven,Ken,,Whissle,Wii Fit Trainer,
Cheese League June 2021,Winners Round 3,Oscar,ROB,,MothPlague,Piranha Plant,
Cheese League June 2021,Losers Round 6,CaptainCoolade,Pac-Man,,BLU,Cloud,
Cheese League June 2021,Winners Round 4,GoogleMaps,Toon Link,,Jacko,Mega Man,
Cheese League June 2021,Losers Round 8,Heaven,Ken,Ryu,Jacko,Diddy Kong,Mega Man
Cheese League June 2021,Winners Round 2,GoogleMaps,Toon Link,,Faelyon,Lucina
Cheese League June 2021,Winners Round 5,Q,Inkling,Samus,Heaven,Ken,
Cheese League June 2021,Winners Round 3,BLU,Cloud,,Con,Fox,
Cheese League June 2021,Losers Round 9,Heaven,Ken,,GoogleMaps,Toon Link,
Cheese League June 2021,Winners Round 5,Oscar,ROB,,GoogleMaps,Toon Link,
Cheese League June 2021,Winners Round 6,Q,Inkling,Yoshi,Oscar,ROB,
Cheese League June 2021,Losers Round 10,Heaven,Ken,,Oscar,King Dedede,ROB
Cheese League June 2021,Grand Finals,Heaven,Ken,Ryu,Q,King Dedede,Kirby
